"ano","nome_acao","cod_acao","unidade_orcamentaria","valor_pago"
"2007","Melhoria da Fiscalização de Trânsito pelos Órgãos do Sistema Nacional de Trânsito","4408","Ministério das Cidades","50000"
"2007","Processamento, Remuneração dos Departamentos Estaduais de Trânsito e Arrecadação de Multas Aplicadas pela Polícia Rodoviária Federal","86A1","Departamento de Polícia Rodoviária Federal","17417473.95"
"2007","Sistema de Informações do Sistema Nacional de Trânsito","4410","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","70731101.60"
"2007","Vigilância e Fiscalização do Trânsito Interestadual de Animais e seus Produtos","2139","Ministério da Agricultura, Pecuária e Abastecimento","1226144.25"
"2007","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais e seus Produtos","2134","Ministério da Agricultura, Pecuária e Abastecimento","2494900.38"
"2007","Vigilância e Fiscalização do Trânsito Internacional de Animais e seus Produtos","2181","Ministério da Agricultura, Pecuária e Abastecimento","1578611.35"
"2007","Vigilância e Fiscalização do Trânsito Internacional de Vegetais e seus Produtos","2180","Ministério da Agricultura, Pecuária e Abastecimento","2578206.70"
"2008","Capacitação de Profissionais do Sistema Nacional de Trânsito","6622","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","2197900.55"
"2008","Educação de Trânsito para Usuários das Rodovias Federais","8692","Departamento de Polícia Rodoviária Federal","72698.75"
"2008","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","1922282"
"2008","Fomento a Pesquisa e Desenvolvimento na Área de Trânsito","4398","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","898587.79"
"2008","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","3928029"
"2008","Fortalecimento Institucional dos Órgãos e Entidades do Sistema Nacional de Trânsito - SNT","8028","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","236004.72"
"2008","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","0"
"2008","Sistema de Informações do Sistema Nacional de Trânsito","4410","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","55722039.18"
"2008","Vigilância e Fiscalização do Trânsito Interestadual de Animais, seus Produtos e Insumos","2139","Ministério da Agricultura, Pecuária e Abastecimento","940605.95"
"2008","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais, seus Produtos e Insumos","2134","Ministério da Agricultura, Pecuária e Abastecimento","4017937.55"
"2008","Vigilância e Fiscalização do Trânsito Internacional de Animais, seus Produtos e Insumos","2181","Ministério da Agricultura, Pecuária e Abastecimento","1912091.89"
"2008","Vigilância e Fiscalização do Trânsito Internacional de Vegetais, seus Produtos e Insumos","2180","Ministério da Agricultura, Pecuária e Abastecimento","2238089.89"
"2009","Capacitação de Profissionais do Sistema Nacional de Trânsito","6622","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","3680599.8"
"2009","Educação de Trânsito para Usuários das Rodovias Federais","8692","Departamento de Polícia Rodoviária Federal","232499.50"
