_normalized_mun_slug,_normalized_mun_cod_ibge,vlr_investimento_sum,vlr_desembolsado_sum,vlr_investimento_por_populacao,vlr_desembolsado_por_populacao,populacao
muquem-do-sao-francisco-ba,2922250,1595923.73,1303057.1400000001,Infinity,Infinity,
apicum-acu-ma,2100832,993171.4199999999,170108.45,Infinity,Infinity,
paripiranga-ba,2923803,5103072.88,954052.38,Infinity,Infinity,
magda-sp,3528304,438053.39,238750,Infinity,Infinity,
caetanos-ba,2905156,1856400,1260961.9,Infinity,Infinity,
faro-pa,1503002,1634511.4,284939.57,Infinity,Infinity,
ourem-pa,1505403,699500,0,Infinity,NaN,
quatipuru-pa,1506112,374875,0,Infinity,NaN,
catolandia-ba,2907400,202400,,Infinity,NaN,
firmino-alves-ba,2910909,1462131.1600000001,667124.78,Infinity,Infinity,
aloandia-go,5200506,867105.86,241904.74,Infinity,Infinity,
carapebus-rj,3300936,1463656.98,460952.38,Infinity,Infinity,
macae-rj,3302403,295300,,Infinity,NaN,
canhoba-se,2801108,2429508.39,1891104.76,Infinity,Infinity,
victor-graeff-rs,4323200,635936.54,245850,Infinity,Infinity,
moraujo-ce,2308807,961242.6200000001,744317.56,Infinity,Infinity,
itaruma-go,5211305,3196145.3200000003,1768464.69,Infinity,Infinity,
rincao-sp,3543709,2354463.7600000002,1749458.5,Infinity,Infinity,
raposos-mg,3153905,5205209.899999999,3197848.8700000006,Infinity,Infinity,
sarzedo-mg,3165537,781149.69,270476.19,Infinity,Infinity,
caraibas-ba,2906899,1257400,556976.19,Infinity,Infinity,
ibirataia-ba,2912905,1225033.63,0,Infinity,NaN,
ribamar-fiquene-ma,2109551,405079,,Infinity,NaN,
palhano-ce,2310001,640850,0,Infinity,NaN,
marmelopolis-mg,3140407,406505.76,245850,Infinity,Infinity,
ipe-rs,4310439,1859258.97,729354,Infinity,Infinity,
jaboti-pr,4111704,870179.4,668500,Infinity,Infinity,
aldeias-altas-ma,2100303,2576097.54,322175.09,Infinity,Infinity,
benjamin-constant-am,1300607,26422096,7658811.1899999995,Infinity,Infinity,
senges-pr,4126306,1029487.85,460952.38,Infinity,Infinity,
moeda-mg,3142304,1189131.27,0,Infinity,NaN,
indiana-sp,3520608,2293131.51,1494457.1400000001,Infinity,Infinity,
itaquitinga-pe,2607802,1246194.57,493100,Infinity,Infinity,
anhanguera-go,5201207,656702.52,532350,Infinity,Infinity,
minduri-mg,3141900,1610763,0,Infinity,NaN,
divisopolis-mg,3122454,2276038.99,238750,Infinity,Infinity,
uniflor-pr,4128302,551300,147650,Infinity,Infinity,
nantes-sp,3532157,874476.75,594347.62,Infinity,Infinity,
itapuca-rs,4310579,1307194.6400000001,1223550,Infinity,Infinity,
tufilandia-ma,2112274,3467506,986434.77,Infinity,Infinity,
algodao-de-jandaira-pb,2500577,1104349.24,647650,Infinity,Infinity,
poranga-ce,2311009,1805609.56,1079681.52,Infinity,Infinity,
ajuricaba-rs,4300208,2809830.0700000003,1445007.1400000001,Infinity,Infinity,
anta-gorda-rs,4300703,2226834.33,1182600,Infinity,Infinity,
caatiba-ba,2904803,2767747,1775790.1400000001,Infinity,Infinity,
acarape-ce,2300150,1016443.4000000001,785454.19,Infinity,Infinity,
igarassu-pe,2606804,18196357.66,6746437.399999999,Infinity,Infinity,
firminopolis-go,5207808,1655191.19,983400,Infinity,Infinity,
ribeiraozinho-mt,5107198,704845,394200,Infinity,Infinity,
ivolandia-go,5211602,2141502.06,2075695.24,Infinity,Infinity,
vermelho-novo-mg,3171154,1171517.53,541150,Infinity,Infinity,
guapo-go,5209200,3030999.27,1228550,Infinity,Infinity,
sapucai-mirim-mg,3165404,3465461.8500000006,2039844.76,Infinity,Infinity,
baixio-ce,2301802,3418501.01,875730.74,Infinity,Infinity,
mojui-dos-campos-pa,1504752,916576.38,589420.65,Infinity,Infinity,
lagoao-rs,4311254,1011938.27,714557.14,Infinity,Infinity,
fama-mg,3125200,669095.81,0,Infinity,NaN,
guarinos-go,5209457,779717.97,245850,Infinity,Infinity,
darcinopolis-to,1706506,6961933.279999999,5298438.8,Infinity,Infinity,
aruana-go,5202502,13291150,493100,Infinity,Infinity,
visconde-do-rio-branco-mg,3172004,1448764.95,267813.5,Infinity,Infinity,
milha-ce,2308351,3896417.02,245850,Infinity,Infinity,
macurure-ba,2919900,889002,885900,Infinity,Infinity,
reduto-mg,3154150,2336302.9,853707.14,Infinity,Infinity,
extrema-mg,3125101,2371706.42,1133150,Infinity,Infinity,
aguiar-pb,2500205,3011172.98,848499.15,Infinity,Infinity,
olivedos-pb,2510501,1459492.9,238750,Infinity,Infinity,
tenorio-pb,2516755,1750385.25,861926.62,Infinity,Infinity,
turvania-go,5221502,1137699.73,883054.76,Infinity,Infinity,
bacurituba-ma,2101350,964974.22,493100,Infinity,Infinity,
ibiquera-ba,2912608,1110047.62,859047.62,Infinity,Infinity,
varjota-ce,2313955,1740003.04,788400,Infinity,Infinity,
cajazeirinhas-pb,2503753,1700911.55,286500,Infinity,Infinity,
