_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum,_regional_saude_populacao_quadrienio,_regional_saude_frota_quadrienio,_regional_saude_vlr_investimento_por_hab,_regional_saude_vlr_repasse_financiamento_por_hab,_regional_saude_vlr_contrapartida_por_hab,_regional_saude_vlr_investimento_por_frota,_regional_saude_vlr_repasse_financiamento_por_frota,_regional_saude_vlr_contrapartida_por_frota
43021,Região 21 - Sul,2014-2017,414200.95,394200,20000.95,885413,478160,0.4678053631469156,0.44521596136492236,0.022589401781993264,0.8662392295465953,0.8244102392504601,0.04182899029613519
43022,Região 22 - Pampa,2014-2017,341253.15,251784,89469.15,190564,99288,1.7907535001364372,1.3212569005688377,0.4694965995675993,3.4370029610829107,2.5358955765047138,0.9011073845781967
43024,Região 24 - Campos de Cima da Serra,,115119.2,97500,17619.2,,,,,,,,
43025,Região 25 - Vinhedos e Basalto,,1179416.66,986200,193216.66,,,,,,,,
43027,Região 27 - Jacuí Centro,,311282.5,287882.5,23400,,,,,,,,
43030,Região 30 - Vale da Luz,,1012290,987600,24690,,,,,,,,
43030,Região 30 - Vale da Luz,2018-2021,364160.46,238856,125304.46,132240,89779,2.7537844827586206,1.8062310949788263,0.9475533877797944,4.056187527150002,2.6604885329531407,1.3956989941968612
50001,Campo Grande,,134399475,129730000,4669475,,,,,,,,
51005,Garças Araguaia,,4359309.2,4262800,96509.2,,,,,,,,
51007,Médio Norte Matogrossense,,1020408.16,1000000,20408.16,,,,,,,,
51009,Norte Araguaia Karajá,,301327,295300,6027,,,,,,,,
51010,Norte Matogrossense,,2097070.1,1959180,137890.1,,,,,,,,
51011,Oeste Matogrossense,,306122.45,300000,6122.45,,,,,,,,
52001,Central,2014-2017,224228315.79000002,215323461,8904854.790000001,1848764,1204718,121.28552686551664,116.46887379892728,4.816653066589354,186.1251477856229,178.73349696775512,7.391650817867751
52001,Central,,206303598.08,195503100,10800498.08,,,,,,,,
52002,Centro Sul,2014-2017,3000000,3000000,0,893939,412100,3.35593368227586,3.35593368227586,0,7.279786459597185,7.279786459597185,0
52002,Centro Sul,,3723800,3600000,123800,,,,,,,,
52004,Entorno Sul,,17500000,17500000,0,,,,,,,,
52005,Estrada de Ferro,,515000,500000,15000,,,,,,,,
52018,São Patrício II,,2000000,1875000,125000,,,,,,,,
53001,Distrito Federal,,837599745.89,772974909.7,64624836.19,,,,,,,,
53001,Distrito Federal,2018-2021,1441471.26,1372829.77,68641.49,3094325,1894859,0.46584352322396644,0.44366049784686484,0.02218302537710163,0.7607274525439623,0.724502335002235,0.03622511754172738
53001,Distrito Federal,2014-2017,911672025.2200001,753494519.6600001,158177505.55999997,3039444,1677003,299.9469722817726,247.90537995107002,52.04159233070258,543.6317199313299,449.3101799221588,94.3215400091711
,,,2107298437.52,954718536,1152579901.52,,,,,,,,
