_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
25011,11ª Região,,17280175.16,16608914.4,671260.7599999999
25011,11ª Região,2018-2021,14285871.74,14188548.6,97323.14000000001
25011,11ª Região,2014-2017,3241032.53,3175525,65507.52999999999
25012,12ª Região,,26583062.110000003,25610291.160000004,972770.95
25012,12ª Região,2014-2017,6872982.14,6657789.629999999,215192.50999999998
25013,13ª Região,,13416416.030000001,13165679.14,250736.89
25013,13ª Região,2018-2021,13600928.74,13309484.55,291444.19
26011,Salgueiro,2018-2021,2525519.7,2334033.38,191486.32
25013,13ª Região,2014-2017,5056968.34,5031300,25668.34
25014,14ª Região,,15680082.39,15248848.540000001,431233.85000000003
25014,14ª Região,2018-2021,23186654.48,22520830.67,665823.8099999999
25014,14ª Região,2014-2017,4251144.21,4207853.36,43290.85
25015,15ª Região,,27114684.369999997,26432811.200000003,681873.17
25015,15ª Região,2018-2021,15556865.88,15076223.47,480642.41
26007,Ouricuri,2018-2021,14772630.720000003,14107128.75,665501.9700000001
25015,15ª Região,2014-2017,11364492.370000003,10816843.010000002,547649.36
25016,16ª Região,,106349094.88000003,93272430.91999999,13076663.959999999
25016,16ª Região,2018-2021,43397221.23,42009757.76,1387463.47
26001,Afogados da Ingazeira,2018-2021,7972036.38,7093854.23,878182.15
26004,Garanhuns,2018-2021,47567235.39,45219954.21,2347281.1799999997
26005,Goiana,2018-2021,3973120.9899999993,3776071.41,197049.58
25016,16ª Região,2014-2017,68993899.08,66941895.699999996,2052003.3800000001
26001,Afogados da Ingazeira,,25231097.519999996,23387778.919999998,1843318.6000000006
26001,Afogados da Ingazeira,2014-2017,13922636.959999995,12784620.620000001,1138016.34
26002,Arcoverde,,37912906.410000004,35351635.31,2561271.0999999996
26002,Arcoverde,2018-2021,14600707.65,13199784.09,1400923.56
26006,Limoeiro,2018-2021,42305986.11,38253022.13,4052963.9800000004
26010,Recife,2018-2021,146540140.16,140470424.93999997,6069715.22
26002,Arcoverde,2014-2017,17876751.890000004,15883472.109999998,1993279.78
26003,Caruaru,,131663650.13000001,122055071.14,9608578.990000002
26003,Caruaru,2018-2021,48074075.39999999,43623372.839999996,4450702.5600000005
26003,Caruaru,2014-2017,86308419.04000002,81876701.88999999,4431717.150000001
26004,Garanhuns,,71160067.83999997,67674742.63,3485325.2100000004
26004,Garanhuns,2014-2017,18141289.419999998,17280585.31,860704.1099999999
26005,Goiana,,31573672.330000002,29524780.87,2048891.46
26005,Goiana,2014-2017,9542772.9,9436127.990000002,106644.91000000002
26006,Limoeiro,,63645770.34000001,59240992.25,4404778.09
26006,Limoeiro,2014-2017,57997260.27999999,53088103.92999999,4909156.35
26007,Ouricuri,,34736381.720000006,32175846.840000004,2560534.8800000004
26007,Ouricuri,2014-2017,4594438.49,4205881.17,388557.32
26008,Palmares,,42372287.64000001,39408098.019999996,2964189.62
26008,Palmares,2018-2021,12271803.87,11854214.52,417589.35000000003
